year,month_name,gpha_container_vessel_moves_sum,month,portwatch_container_calls
2024,JANUARY,256.0,1,70
2024,FEBRUARY,212.0,2,61
2024,MARCH,266.0,3,69
2024,APRIL,266.0,4,73
2024,MAY,272.0,5,74
2024,JUNE,302.0,6,80
2024,JULY,288.0,7,78
2024,AUGUST,167.0,8,91
2024,SEPTEMBER,300.0,9,80
2024,OCTOBER,316.0,10,84
2024,NOVEMBER,308.0,11,83
2024,DECEMBER,298.0,12,78
2025,JANUARY,308.0,1,84
2025,FEBRUARY,294.0,2,78
2025,MARCH,326.0,3,83
2025,APRIL,272.0,4,72
2025,MAY,344.0,5,88
2025,JUNE,298.0,6,75
2025,JULY,328.0,7,84
2025,AUGUST,340.0,8,87
2025,SEPTEMBER,320.0,9,85
2025,OCTOBER,346.0,10,87
2025,NOVEMBER,328.0,11,88
2025,DECEMBER,362.0,12,92
