date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2019-01-01 00:00:00+00:00,2019,1,1,port1282,Tema,Ghana,GHA,0,0,1,0,1,1,2,0,0,2084,0,0,2084,2084,0,0,775,0,414,775,1189
2019-01-02 00:00:00+00:00,2019,1,2,port1282,Tema,Ghana,GHA,0,0,1,0,1,1,2,0,0,1398,0,3517,1398,4915,0,0,0,0,0,0,0
2019-01-03 00:00:00+00:00,2019,1,3,port1282,Tema,Ghana,GHA,2,1,0,1,0,4,4,22326,0,0,0,0,22326,22326,0,898,0,0,0,898,898
2019-01-04 00:00:00+00:00,2019,1,4,port1282,Tema,Ghana,GHA,1,1,0,0,0,2,2,10281,0,0,0,0,10281,10281,0,0,0,0,0,0,0
2019-01-05 00:00:00+00:00,2019,1,5,port1282,Tema,Ghana,GHA,2,1,0,0,1,3,4,16763,24382,0,0,9547,41145,50692,0,0,0,0,0,0,0
2019-01-06 00:00:00+00:00,2019,1,6,port1282,Tema,Ghana,GHA,2,1,1,0,1,4,5,9595,0,2084,0,3517,11680,15197,0,0,775,0,0,775,775
2019-01-07 00:00:00+00:00,2019,1,7,port1282,Tema,Ghana,GHA,1,0,2,0,0,3,3,9009,0,4462,0,0,13472,13472,0,0,0,0,0,0,0
2019-01-08 00:00:00+00:00,2019,1,8,port1282,Tema,Ghana,GHA,2,0,0,0,0,2,2,4540,0,0,0,0,4540,4540,437,0,0,0,0,437,437
2019-01-09 00:00:00+00:00,2019,1,9,port1282,Tema,Ghana,GHA,2,0,0,0,0,2,2,22088,0,0,0,0,22088,22088,1440,0,0,0,0,1440,1440
2019-01-10 00:00:00+00:00,2019,1,10,port1282,Tema,Ghana,GHA,0,1,0,0,2,1,3,0,0,0,0,2373,0,2373,0,0,0,0,0,0,0
2019-01-11 00:00:00+00:00,2019,1,11,port1282,Tema,Ghana,GHA,2,0,0,0,1,2,3,14709,0,0,0,0,14709,14709,0,0,0,0,0,0,0
2019-01-12 00:00:00+00:00,2019,1,12,port1282,Tema,Ghana,GHA,1,1,1,0,0,3,3,16678,27599,7405,0,0,51683,51683,0,0,0,0,0,0,0
2019-01-13 00:00:00+00:00,2019,1,13,port1282,Tema,Ghana,GHA,1,1,0,1,0,3,3,9311,46816,0,1146,0,57274,57274,0,0,0,25,0,25,25
2019-01-14 00:00:00+00:00,2019,1,14,port1282,Tema,Ghana,GHA,2,0,1,0,1,3,4,10820,0,914,0,7607,11734,19342,0,0,0,0,0,0,0
2019-01-15 00:00:00+00:00,2019,1,15,port1282,Tema,Ghana,GHA,1,0,0,1,0,2,2,13757,0,0,0,0,13757,13757,0,0,0,0,0,0,0
2019-01-16 00:00:00+00:00,2019,1,16,port1282,Tema,Ghana,GHA,1,1,1,1,1,4,5,9767,27570,2756,0,0,40094,40094,0,0,0,0,0,0,0
2019-01-17 00:00:00+00:00,2019,1,17,port1282,Tema,Ghana,GHA,2,1,0,0,0,3,3,18464,38995,0,0,0,57460,57460,0,0,0,0,0,0,0
2019-01-18 00:00:00+00:00,2019,1,18,port1282,Tema,Ghana,GHA,2,0,1,0,0,3,3,20047,0,0,0,0,20047,20047,1440,0,2408,0,0,3848,3848
2019-01-19 00:00:00+00:00,2019,1,19,port1282,Tema,Ghana,GHA,3,0,0,0,1,3,4,21147,0,0,0,6887,21147,28035,0,0,0,0,0,0,0
2019-01-20 00:00:00+00:00,2019,1,20,port1282,Tema,Ghana,GHA,1,0,0,0,1,1,2,988,0,0,0,1744,988,2733,0,0,0,0,0,0,0
2019-01-21 00:00:00+00:00,2019,1,21,port1282,Tema,Ghana,GHA,2,1,0,0,0,3,3,0,8940,0,0,0,8940,8940,0,0,0,0,0,0,0
2019-01-22 00:00:00+00:00,2019,1,22,port1282,Tema,Ghana,GHA,0,0,0,0,3,0,3,0,0,0,0,3517,0,3517,0,0,0,0,34010,0,34010
2019-01-23 00:00:00+00:00,2019,1,23,port1282,Tema,Ghana,GHA,2,2,0,1,0,5,5,4424,3271,0,4091,0,11787,11787,1270,2300,0,0,0,3570,3570
2019-01-24 00:00:00+00:00,2019,1,24,port1282,Tema,Ghana,GHA,1,0,0,0,1,1,2,7089,0,0,0,0,7089,7089,0,0,0,0,0,0,0
2019-01-25 00:00:00+00:00,2019,1,25,port1282,Tema,Ghana,GHA,1,2,0,0,0,3,3,5262,55707,0,0,0,60970,60970,0,0,0,0,0,0,0
2019-01-26 00:00:00+00:00,2019,1,26,port1282,Tema,Ghana,GHA,1,0,0,0,0,1,1,24636,0,0,0,0,24636,24636,0,0,0,0,0,0,0
2019-01-27 00:00:00+00:00,2019,1,27,port1282,Tema,Ghana,GHA,2,0,0,0,0,2,2,12737,0,0,0,0,12737,12737,1440,0,0,0,0,1440,1440
2019-01-28 00:00:00+00:00,2019,1,28,port1282,Tema,Ghana,GHA,1,1,0,0,2,2,4,863,31959,0,0,7698,32823,40522,27,0,0,0,0,27,27
2019-01-29 00:00:00+00:00,2019,1,29,port1282,Tema,Ghana,GHA,1,1,2,0,0,4,4,1270,17631,4657,0,0,23559,23559,0,0,3138,0,0,3138,3138
2019-01-30 00:00:00+00:00,2019,1,30,port1282,Tema,Ghana,GHA,1,0,0,2,0,3,3,0,0,0,2292,0,2292,2292,0,0,0,51,0,51,51
2019-01-31 00:00:00+00:00,2019,1,31,port1282,Tema,Ghana,GHA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01 00:00:00+00:00,2019,2,1,port1282,Tema,Ghana,GHA,3,2,0,0,1,5,6,12840,4911,0,0,0,17751,17751,0,0,0,0,0,0,0
2019-02-02 00:00:00+00:00,2019,2,2,port1282,Tema,Ghana,GHA,1,1,1,0,0,3,3,5501,28499,2084,0,0,36086,36086,0,0,775,0,0,775,775
2019-02-03 00:00:00+00:00,2019,2,3,port1282,Tema,Ghana,GHA,1,0,0,0,0,1,1,14192,0,0,0,0,14192,14192,0,0,0,0,0,0,0
2019-02-04 00:00:00+00:00,2019,2,4,port1282,Tema,Ghana,GHA,1,1,0,0,1,2,3,0,0,0,0,0,0,0,768,0,0,0,0,768,768
2019-02-05 00:00:00+00:00,2019,2,5,port1282,Tema,Ghana,GHA,3,0,0,0,1,3,4,15294,0,0,0,3517,15294,18811,1440,0,0,0,0,1440,1440
2019-02-06 00:00:00+00:00,2019,2,6,port1282,Tema,Ghana,GHA,0,1,0,1,0,2,2,0,1654,0,3577,0,5231,5231,0,0,0,0,0,0,0
2019-02-07 00:00:00+00:00,2019,2,7,port1282,Tema,Ghana,GHA,1,1,1,0,0,3,3,1947,10347,2712,0,0,15007,15007,0,0,0,0,0,0,0
2019-02-08 00:00:00+00:00,2019,2,8,port1282,Tema,Ghana,GHA,2,2,0,0,0,4,4,5792,8911,0,0,0,14703,14703,3929,0,0,0,0,3929,3929
2019-02-09 00:00:00+00:00,2019,2,9,port1282,Tema,Ghana,GHA,1,0,0,0,1,1,2,6084,0,0,0,4085,6084,10169,0,0,0,0,1903,0,1903
2019-02-10 00:00:00+00:00,2019,2,10,port1282,Tema,Ghana,GHA,2,0,1,1,0,4,4,31267,0,8773,0,0,40041,40041,0,0,0,0,0,0,0
2019-02-11 00:00:00+00:00,2019,2,11,port1282,Tema,Ghana,GHA,1,1,0,0,0,2,2,2674,0,0,0,0,2674,2674,0,0,0,0,0,0,0
2019-02-12 00:00:00+00:00,2019,2,12,port1282,Tema,Ghana,GHA,2,0,0,1,2,3,5,0,0,0,588,0,588,588,436,0,0,0,0,436,436
2019-02-13 00:00:00+00:00,2019,2,13,port1282,Tema,Ghana,GHA,1,0,0,0,0,1,1,4091,0,0,0,0,4091,4091,0,0,0,0,0,0,0
2019-02-14 00:00:00+00:00,2019,2,14,port1282,Tema,Ghana,GHA,2,2,0,0,1,4,5,7640,0,0,0,4085,7640,11726,0,0,0,0,1903,0,1903
2019-02-15 00:00:00+00:00,2019,2,15,port1282,Tema,Ghana,GHA,3,0,0,1,0,4,4,31075,0,0,1146,0,32221,32221,1440,0,0,25,0,1465,1465
2019-02-16 00:00:00+00:00,2019,2,16,port1282,Tema,Ghana,GHA,1,1,0,1,1,3,4,1462,31565,0,0,0,33028,33028,0,0,0,0,0,0,0
2019-02-17 00:00:00+00:00,2019,2,17,port1282,Tema,Ghana,GHA,1,0,0,0,0,1,1,4161,0,0,0,0,4161,4161,0,0,0,0,0,0,0
2019-02-18 00:00:00+00:00,2019,2,18,port1282,Tema,Ghana,GHA,1,2,0,0,1,3,4,0,46378,0,0,4085,46378,50463,1464,0,0,0,1903,1464,3368
2019-02-19 00:00:00+00:00,2019,2,19,port1282,Tema,Ghana,GHA,1,1,0,0,1,2,3,0,0,0,0,581,0,581,0,0,0,0,0,0,0
2019-02-20 00:00:00+00:00,2019,2,20,port1282,Tema,Ghana,GHA,2,0,0,0,1,2,3,1279,0,0,0,6155,1279,7435,0,0,0,0,3183,0,3183
2019-02-21 00:00:00+00:00,2019,2,21,port1282,Tema,Ghana,GHA,1,1,1,0,0,3,3,1969,0,0,0,0,1969,1969,0,0,231,0,0,231,231
2019-02-22 00:00:00+00:00,2019,2,22,port1282,Tema,Ghana,GHA,3,0,0,0,1,3,4,8890,0,0,0,25812,8890,34702,2005,0,0,0,0,2005,2005
2019-02-23 00:00:00+00:00,2019,2,23,port1282,Tema,Ghana,GHA,0,0,0,0,2,0,2,0,0,0,0,4085,0,4085,0,0,0,0,1903,0,1903
2019-02-24 00:00:00+00:00,2019,2,24,port1282,Tema,Ghana,GHA,3,0,0,0,0,3,3,29332,0,0,0,0,29332,29332,1440,0,0,0,0,1440,1440
2019-02-25 00:00:00+00:00,2019,2,25,port1282,Tema,Ghana,GHA,1,3,0,0,2,4,6,5060,27533,0,0,32617,32593,65211,0,789,0,0,0,789,789
2019-02-26 00:00:00+00:00,2019,2,26,port1282,Tema,Ghana,GHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27 00:00:00+00:00,2019,2,27,port1282,Tema,Ghana,GHA,1,1,0,0,2,2,4,3200,31840,0,0,470,35040,35511,0,0,0,0,5188,0,5188
2019-02-28 00:00:00+00:00,2019,2,28,port1282,Tema,Ghana,GHA,0,1,0,0,0,1,1,0,29594,0,0,0,29594,29594,0,0,0,0,0,0,0
2019-03-01 00:00:00+00:00,2019,3,1,port1282,Tema,Ghana,GHA,3,0,0,0,0,3,3,22506,0,0,0,0,22506,22506,27,0,0,0,0,27,27
2019-03-02 00:00:00+00:00,2019,3,2,port1282,Tema,Ghana,GHA,1,1,1,1,1,4,5,8207,27267,0,0,4085,35474,39560,1440,0,2416,0,1903,3857,5760
2019-03-03 00:00:00+00:00,2019,3,3,port1282,Tema,Ghana,GHA,1,0,0,1,0,2,2,0,0,0,0,0,0,0,1484,0,0,0,0,1484,1484
2019-03-04 00:00:00+00:00,2019,3,4,port1282,Tema,Ghana,GHA,1,2,1,0,0,4,4,2956,16716,2084,0,0,21758,21758,0,0,775,0,0,775,775
2019-03-05 00:00:00+00:00,2019,3,5,port1282,Tema,Ghana,GHA,1,3,0,0,1,4,5,13617,20323,0,0,4085,33940,38026,0,0,0,0,1903,0,1903
2019-03-06 00:00:00+00:00,2019,3,6,port1282,Tema,Ghana,GHA,1,0,0,0,1,1,2,10106,0,0,0,23713,10106,33819,0,0,0,0,0,0,0
2019-03-07 00:00:00+00:00,2019,3,7,port1282,Tema,Ghana,GHA,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,5928,0,0,5928,5928
2019-03-08 00:00:00+00:00,2019,3,8,port1282,Tema,Ghana,GHA,2,0,0,0,1,2,3,9501,0,0,0,4085,9501,13586,1440,0,0,0,1903,1440,3343
2019-03-09 00:00:00+00:00,2019,3,9,port1282,Tema,Ghana,GHA,2,0,1,0,1,3,4,5083,0,594,0,0,5677,5677,2535,0,0,0,0,2535,2535
2019-03-10 00:00:00+00:00,2019,3,10,port1282,Tema,Ghana,GHA,0,0,0,0,1,0,1,0,0,0,0,4085,0,4085,0,0,0,0,1903,0,1903
2019-03-11 00:00:00+00:00,2019,3,11,port1282,Tema,Ghana,GHA,1,0,0,0,1,1,2,8201,0,0,0,4085,8201,12286,0,0,0,0,1903,0,1903
2019-03-12 00:00:00+00:00,2019,3,12,port1282,Tema,Ghana,GHA,2,0,1,0,0,3,3,9486,0,1062,0,0,10549,10549,0,0,0,0,0,0,0
2019-03-13 00:00:00+00:00,2019,3,13,port1282,Tema,Ghana,GHA,1,0,0,1,0,2,2,2469,0,0,1146,0,3615,3615,0,0,0,25,0,25,25
2019-03-14 00:00:00+00:00,2019,3,14,port1282,Tema,Ghana,GHA,2,0,0,0,0,2,2,8128,0,0,0,0,8128,8128,27,0,0,0,0,27,27
2019-03-15 00:00:00+00:00,2019,3,15,port1282,Tema,Ghana,GHA,1,1,1,2,3,5,8,3879,13558,0,3392,18571,20830,39401,0,0,5172,25,6700,5198,11899
2019-03-16 00:00:00+00:00,2019,3,16,port1282,Tema,Ghana,GHA,2,3,0,0,1,5,6,8207,60059,0,0,695,68266,68962,2734,0,0,0,0,2734,2734
2019-03-17 00:00:00+00:00,2019,3,17,port1282,Tema,Ghana,GHA,2,1,0,1,0,4,4,9740,0,0,1146,0,10886,10886,0,0,0,25,0,25,25
2019-03-18 00:00:00+00:00,2019,3,18,port1282,Tema,Ghana,GHA,3,0,1,0,1,4,5,7450,0,2084,0,0,9535,9535,1288,0,775,0,2799,2063,4863
2019-03-19 00:00:00+00:00,2019,3,19,port1282,Tema,Ghana,GHA,1,0,1,0,1,2,3,0,0,0,0,4085,0,4085,13973,0,2035,0,1903,16009,17912
2019-03-20 00:00:00+00:00,2019,3,20,port1282,Tema,Ghana,GHA,1,2,0,0,0,3,3,2582,56310,0,0,0,58892,58892,0,0,0,0,0,0,0
2019-03-21 00:00:00+00:00,2019,3,21,port1282,Tema,Ghana,GHA,2,2,1,0,1,5,6,12111,36481,2084,0,0,50677,50677,1440,0,775,0,6023,2215,8238
2019-03-22 00:00:00+00:00,2019,3,22,port1282,Tema,Ghana,GHA,2,0,0,0,2,2,4,8765,0,0,0,20905,8765,29671,0,0,0,0,0,0,0
2019-03-23 00:00:00+00:00,2019,3,23,port1282,Tema,Ghana,GHA,1,1,0,0,0,2,2,8391,37692,0,0,0,46083,46083,0,0,0,0,0,0,0
2019-03-24 00:00:00+00:00,2019,3,24,port1282,Tema,Ghana,GHA,2,2,0,0,2,4,6,12444,28841,0,0,8171,41285,49456,0,789,0,0,3807,789,4596
2019-03-25 00:00:00+00:00,2019,3,25,port1282,Tema,Ghana,GHA,1,2,0,0,0,3,3,0,60846,0,0,0,60846,60846,1938,0,0,0,0,1938,1938
2019-03-26 00:00:00+00:00,2019,3,26,port1282,Tema,Ghana,GHA,2,2,0,0,1,4,5,4353,20399,0,0,11197,24752,35950,0,789,0,0,0,789,789
2019-03-27 00:00:00+00:00,2019,3,27,port1282,Tema,Ghana,GHA,0,1,0,0,2,1,3,0,26465,0,0,4085,26465,30550,0,0,0,0,13351,0,13351
2019-03-28 00:00:00+00:00,2019,3,28,port1282,Tema,Ghana,GHA,3,1,0,0,0,4,4,26357,42949,0,0,0,69307,69307,1440,0,0,0,0,1440,1440
2019-03-29 00:00:00+00:00,2019,3,29,port1282,Tema,Ghana,GHA,1,0,0,0,0,1,1,13764,0,0,0,0,13764,13764,0,0,0,0,0,0,0
2019-03-30 00:00:00+00:00,2019,3,30,port1282,Tema,Ghana,GHA,2,0,0,0,1,2,3,5128,0,0,0,4085,5128,9213,0,0,0,0,1903,0,1903
2019-03-31 00:00:00+00:00,2019,3,31,port1282,Tema,Ghana,GHA,1,1,0,0,0,2,2,0,24275,0,0,0,24275,24275,0,0,0,0,0,0,0
2019-04-01 00:00:00+00:00,2019,4,1,port1282,Tema,Ghana,GHA,0,1,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,229,0,229
2019-04-02 00:00:00+00:00,2019,4,2,port1282,Tema,Ghana,GHA,1,1,1,1,1,4,5,8207,20399,5193,0,3116,33799,36916,1440,789,0,0,0,2229,2229
2019-04-03 00:00:00+00:00,2019,4,3,port1282,Tema,Ghana,GHA,1,0,0,0,1,1,2,7264,0,0,0,0,7264,7264,0,0,0,0,0,0,0
2019-04-04 00:00:00+00:00,2019,4,4,port1282,Tema,Ghana,GHA,2,0,0,0,0,2,2,3238,0,0,0,0,3238,3238,0,0,0,0,0,0,0
2019-04-05 00:00:00+00:00,2019,4,5,port1282,Tema,Ghana,GHA,2,1,0,0,2,3,5,16281,0,0,0,4085,16281,20367,1440,47082,0,0,1903,48522,50426
2019-04-06 00:00:00+00:00,2019,4,6,port1282,Tema,Ghana,GHA,0,1,0,0,0,1,1,0,28509,0,0,0,28509,28509,0,0,0,0,0,0,0
2019-04-07 00:00:00+00:00,2019,4,7,port1282,Tema,Ghana,GHA,1,1,0,0,1,2,3,8219,31896,0,0,7119,40115,47234,0,0,0,0,839,0,839
2019-04-08 00:00:00+00:00,2019,4,8,port1282,Tema,Ghana,GHA,1,2,0,0,1,3,4,0,45250,0,0,0,45250,45250,3860,0,0,0,606,3860,4466
2019-04-09 00:00:00+00:00,2019,4,9,port1282,Tema,Ghana,GHA,3,0,0,0,0,3,3,17471,0,0,0,0,17471,17471,1440,0,0,0,0,1440,1440
2019-04-10 00:00:00+00:00,2019,4,10,port1282,Tema,Ghana,GHA,0,0,0,0,1,0,1,0,0,0,0,236,0,236,0,0,0,0,0,0,0
2019-04-11 00:00:00+00:00,2019,4,11,port1282,Tema,Ghana,GHA,1,1,1,0,1,3,4,738,28634,2885,0,0,32258,32258,0,0,0,0,0,0,0
2019-04-12 00:00:00+00:00,2019,4,12,port1282,Tema,Ghana,GHA,1,1,1,0,1,3,4,4498,38860,1958,0,7119,45317,52437,0,0,0,0,839,0,839
