metric,compare,margin,n_days,mean_diff,p_tost,equivalent_at_margin
peak_queue,S2_vs_S1_rel_improvement,0.03,81,-0.0002483886535413,9.625413968638365e-49,True
peak_queue,S3_vs_S1_rel_improvement,0.03,81,0.0032341192687746,5.802775158708876e-38,True
peak_queue,S3s_vs_S1_rel_improvement,0.03,81,0.008300593934592,4.092770663219433e-19,True
peak_queue,S_OPT_vs_S1_rel_improvement,0.03,81,-0.0097854216456599,8.66823169270365e-12,True
waiting_proxy,S2_vs_S1_rel_improvement,0.03,92,-0.0002333622220134,1.4713915216367284e-76,True
waiting_proxy,S3_vs_S1_rel_improvement,0.03,92,0.0041277986075221,4.851429628292278e-50,True
waiting_proxy,S3s_vs_S1_rel_improvement,0.03,92,0.0047077170667101,3.81205276122957e-40,True
waiting_proxy,S_OPT_vs_S1_rel_improvement,0.03,92,-0.082060083640133,0.9999720691053576,False
peak_queue,S2_vs_S1_rel_improvement,0.05,81,-0.0002483886535413,7.710159474973193e-66,True
peak_queue,S3_vs_S1_rel_improvement,0.05,81,0.0032341192687746,7.974243704378105e-56,True
peak_queue,S3s_vs_S1_rel_improvement,0.05,81,0.008300593934592,2.3143447699480027e-36,True
peak_queue,S_OPT_vs_S1_rel_improvement,0.05,81,-0.0097854216456599,3.0226998907805105e-26,True
waiting_proxy,S2_vs_S1_rel_improvement,0.05,92,-0.0002333622220134,1.4057617514494051e-96,True
waiting_proxy,S3_vs_S1_rel_improvement,0.05,92,0.0041277986075221,1.849072933080081e-71,True
waiting_proxy,S3s_vs_S1_rel_improvement,0.05,92,0.0047077170667101,4.160809132626426e-61,True
waiting_proxy,S_OPT_vs_S1_rel_improvement,0.05,92,-0.082060083640133,0.9946224321533188,False
peak_queue,S2_vs_S1_rel_improvement,0.07,81,-0.0002483886535413,2.308147981685169e-77,True
peak_queue,S3_vs_S1_rel_improvement,0.07,81,0.0032341192687746,8.555696217142601e-68,True
peak_queue,S3s_vs_S1_rel_improvement,0.07,81,0.008300593934592,1.2495731523661378e-48,True
peak_queue,S_OPT_vs_S1_rel_improvement,0.07,81,-0.0097854216456599,9.776980416361512e-38,True
waiting_proxy,S2_vs_S1_rel_improvement,0.07,92,-0.0002333622220134,7.551734464628923e-110,True
waiting_proxy,S3_vs_S1_rel_improvement,0.07,92,0.0041277986075221,1.8595532868946018e-85,True
waiting_proxy,S3s_vs_S1_rel_improvement,0.07,92,0.0047077170667101,4.826329566914327e-75,True
waiting_proxy,S_OPT_vs_S1_rel_improvement,0.07,92,-0.082060083640133,0.8350643060625365,False
