scenario,metric,median_improvement_vs_S0,p10_improvement_vs_S0,p90_improvement_vs_S0
S1,peak_queue,0.7759521831773828,0.1951971656972211,1.0
S1,p90_wait_min,0.4484353834544512,0.2026253326138575,0.681974418209322
S1,corridor_delay_index,0.6595422149422911,0.0140531034127092,0.9436121430451312
S1,waiting_proxy,0.2175002082958964,0.1245146512195875,0.3547461152717433
S2,peak_queue,0.783463211554048,0.1951971656972209,1.0
S2,p90_wait_min,0.4527703033779731,0.2035879901111186,0.6836515462043052
S2,corridor_delay_index,0.6683119210985133,0.0141126113724098,0.943568223981059
S2,waiting_proxy,0.2181438020504363,0.1239082338428348,0.3511024816472501
S3,peak_queue,0.8025303896662013,0.1951971656972211,1.0
S3,p90_wait_min,0.4510571508713247,0.2206181914403227,0.6812611231497585
S3,corridor_delay_index,0.6735640758546295,0.0140784090360176,0.9456402792798632
S3,waiting_proxy,0.2192213988923315,0.1301200579248053,0.3534397089239912
S3s,peak_queue,0.8035307746434793,0.2089858408966087,1.0
S3s,p90_wait_min,0.4472252870646435,0.2404667792006212,0.6842779709448041
S3s,corridor_delay_index,0.708746266972968,0.0141131778775162,0.9491969883944708
S3s,waiting_proxy,0.2179772843447276,0.1360261535357561,0.353742362225559
S_OPT,peak_queue,0.8143004067828852,0.1700049290631916,1.0
S_OPT,p90_wait_min,0.4658672162880936,0.1386289233869273,0.689655088692545
S_OPT,corridor_delay_index,0.4172575729651008,-0.0532091666902342,0.9449229617127436
S_OPT,waiting_proxy,0.2254955877476182,-0.1498981496335247,0.3581639991353372
