level,metric,scenario,n,median_diff,wilcoxon_stat,p_value,rank_biserial_r,p_holm,significant_holm_0_05
day,peak_queue,S1,92,246.25863012061345,3321.0,2.6813131325564844e-15,1.0,1.3406565662782422e-14,True
day,peak_queue,S2,92,245.36379104871597,3321.0,2.6813131325564844e-15,1.0,1.3406565662782422e-14,True
day,peak_queue,S3,92,245.36379104871605,3321.0,2.6813131325564844e-15,1.0,1.3406565662782422e-14,True
day,peak_queue,S3s,92,265.76921455632765,3321.0,2.6813131325564844e-15,1.0,1.3406565662782422e-14,True
day,peak_queue,S_OPT,92,223.1301451231086,3321.0,2.6813131325564844e-15,1.0,1.3406565662782422e-14,True
day,p90_wait_min,S1,92,171.18378092629985,4278.0,4.074890798662477e-17,1.0,2.0374453993312383e-16,True
day,p90_wait_min,S2,92,169.9919278311645,4278.0,4.074890798662477e-17,1.0,2.0374453993312383e-16,True
day,p90_wait_min,S3,92,182.03709998818948,4278.0,4.074890798662477e-17,1.0,2.0374453993312383e-16,True
day,p90_wait_min,S3s,92,178.57325113093617,4278.0,4.074890798662477e-17,1.0,2.0374453993312383e-16,True
day,p90_wait_min,S_OPT,92,118.8488922312394,4278.0,4.074890798662477e-17,1.0,2.0374453993312383e-16,True
day,waiting_proxy,S1,92,544.4189226333492,4278.0,4.074890798662477e-17,1.0,2.0374453993312383e-16,True
day,waiting_proxy,S2,92,539.3301140422282,4278.0,4.074890798662477e-17,1.0,2.0374453993312383e-16,True
day,waiting_proxy,S3,92,562.9709268093932,4278.0,4.074890798662477e-17,1.0,2.0374453993312383e-16,True
day,waiting_proxy,S3s,92,560.1255369954245,4278.0,4.074890798662477e-17,1.0,2.0374453993312383e-16,True
day,waiting_proxy,S_OPT,92,140.23581382911976,2739.0,0.0097368237681987,0.2805049088359046,0.0097368237681987,True
