scenario,metric,median_improvement_vs_S0,p10_improvement_vs_S0,p90_improvement_vs_S0
S1,peak_queue,0.7759521831773828,0.1951971656972211,1.0
S1,p90_wait_min,0.4484353834544512,0.20262533261385757,0.681974418209322
S1,corridor_delay_index,0.6595422149422911,0.014053103412709208,0.9436121430451312
S1,waiting_proxy,0.2175002082958964,0.12451465121958757,0.3547461152717433
S2,peak_queue,0.783463211554048,0.19519716569722093,1.0
S2,p90_wait_min,0.4527703033779731,0.20358799011111867,0.6836515462043052
S2,corridor_delay_index,0.6683119210985133,0.014112611372409857,0.943568223981059
S2,waiting_proxy,0.21814380205043632,0.12390823384283485,0.35110248164725016
S3,peak_queue,0.8025303896662013,0.1951971656972211,1.0
S3,p90_wait_min,0.4510571508713247,0.22061819144032274,0.6812611231497585
S3,corridor_delay_index,0.6735640758546295,0.014078409036017626,0.9456402792798633
S3,waiting_proxy,0.2192213988923315,0.13012005792480538,0.35343970892399124
S3s,peak_queue,0.8035307746434793,0.20898584089660877,1.0
S3s,p90_wait_min,0.4472252870646435,0.24046677920062126,0.6842779709448041
S3s,corridor_delay_index,0.708746266972968,0.014113177877516288,0.9491969883944708
S3s,waiting_proxy,0.21797728434472763,0.13602615353575612,0.353742362225559
S_OPT,peak_queue,0.8143004067828852,0.17000492906319167,1.0
S_OPT,p90_wait_min,0.4658672162880936,0.13862892338692734,0.689655088692545
S_OPT,corridor_delay_index,0.4172575729651008,-0.05320916669023426,0.9449229617127435
S_OPT,waiting_proxy,0.22549558774761824,-0.1498981496335247,0.35816399913533725
