reps_used,median,p10,p90
1,343.9092176186143,1.8294670416554182,1241.392687302149
2,350.91528572700213,0.0,1304.9340924311855
3,347.95016603306533,0.0,1301.984786081015
4,347.95016603306533,0.0,1310.1926616203448
5,347.95016603306533,0.0,1310.3542652741683
6,343.1868307419346,0.0,1311.9416598477562
7,341.3550307118346,0.0,1309.916504253661
8,341.3550307118346,0.0,1321.7501979539638
9,343.1868307419346,0.0,1332.038047031376
10,343.9410134150289,0.0,1342.630731547255
11,345.779347932989,0.0,1339.5860136845133
12,343.9410134150289,0.0,1339.6849212777504
13,343.1868307419346,0.0,1333.2422638264502
14,343.9410134150289,0.0,1332.0380470313753
15,344.6827196256352,0.0,1330.398713756897
16,343.9410134150289,0.0,1334.3529068944338
17,343.9410134150289,0.0,1335.7645450007042
18,343.3444838925807,0.0,1335.4390377917484
19,343.3444838925807,0.0,1332.7187296448756
20,342.44947821202874,0.0,1334.6928964646515
21,341.5013947815281,0.0,1335.2339100269846
22,341.5013947815281,0.0,1335.0986566364013
23,342.08528319584826,0.0,1334.963403245818
24,341.5013947815281,0.0,1334.8281498552349
25,342.08528319584826,0.0,1334.6928964646515
26,341.5013947815281,0.0,1334.2901162301987
27,339.83789804374624,0.0,1333.8758518385894
28,339.83789804374624,0.0,1334.1240400541847
29,339.83789804374624,0.0,1333.8376466662803
30,339.2294005018091,0.0,1330.3987137568965
31,338.47157500628396,0.0,1330.2287576461388
32,338.72904661387133,0.0,1330.2228292608897
33,338.47157500628396,0.0,1330.2169008756405
34,338.47157500628396,0.0,1330.7326975931637
35,338.240445382782,0.0,1333.818544080126
36,338.72904661387133,0.0,1331.7346491019637
37,338.6262940595841,0.0,1333.2367872569637
38,338.72904661387133,0.0,1333.8567492524348
39,338.6262940595841,0.0,1334.0362263196394
40,338.6262940595841,0.0,1333.818544080126
