lambda0,scenario,median_peak_queue,median_waiting_proxy
900,S0,106.81336568329661,1178.489817522156
900,S1,0.0,790.213990811646
900,S2,0.0,791.1564686173938
900,S3,0.0,789.8853166752294
900,S3s,0.0,789.3118688311558
900,S_OPT,0.0,784.7251650702208
1200,S0,239.95237006881212,2014.9008381382728
1200,S1,4.059293277306537,1271.075156110687
1200,S2,4.399307622935879,1272.5320661567625
1200,S3,3.5529662084816493,1269.4025064844711
1200,S3s,4.096681316920204,1264.8585358317728
1200,S_OPT,0.09348128813743983,1257.9566333535688
1500,S0,391.26235561449494,2907.8310272664817
1500,S1,65.76376974454935,2157.4443129457277
1500,S2,65.26934332637171,2143.85
1500,S3,62.89632191576325,2108.9620314860535
1500,S3s,62.43787855687225,2099.276269806019
1500,S_OPT,76.73595024192217,2224.5232965643827
