n_servers,scenario,median_peak_queue,median_waiting_proxy
1,S0,338.6262940595841,2688.4657193401663
1,S1,35.68280274255691,1761.4090235550843
1,S2,34.299618941863585,1761.3282518287053
1,S3,34.32791949873021,1734.5240387749116
1,S3s,34.48908478285694,1740.0868646700549
1,S_OPT,32.262875510539686,1718.5162581445013
2,S0,74.93620790518375,1518.0694053834993
2,S1,0.0,1062.744668658898
2,S2,0.0,1064.000491686174
2,S3,0.0,1062.0328618316305
2,S3s,0.0,1062.2508221490166
2,S_OPT,0.0,1058.1103823505305
3,S0,0.0,1120.8870921246396
3,S1,0.0,869.93499288112
3,S2,0.0,870.6327537406864
3,S3,0.0,869.2894050158707
3,S3s,0.0,869.8599332116463
3,S_OPT,0.0,867.1187164255821
